CustomerID,RegistrationDate,Age,Gender,IncomeLevel,Country,City,TotalPurchases,AvgOrderValue,CustomerLifetimeValue,FavoriteCategory,SatisfactionScore,RepeatCustomer,PremiumMember,HasReturned,LoyaltyScore,LastPurchaseDate
CUST00001,2020-02-21,33,Female,Medium,India,Chicago,7,23.27,218.58,Toys,6.3,Yes,Yes,No,15.55,2024-06-21
CUST00002,2022-02-17,40,,High,USA,Chicago,15,112.65,3028.98,Clothing,,No,Yes,Yes,38.01,2025-03-03
CUST00003,2022-01-28,60,Other,Low,UK,Berlin,7,185.45,1280.53,Electronics,1.29,No,Yes,Yes,56.72,2024-04-18
CUST00004,2022-03-21,,Female,Medium,Japan,Toronto,7,199.48,2281.2,Books,8.13,Yes,No,No,46.8,2024-10-10
CUST00005,2020-01-24,25,,High,Australia,Toronto,1,438.55,336.8,Sports,5.57,No,Yes,Yes,48.86,2024-07-04
CUST00006,2021-09-21,33,,Low,India,Mumbai,9,30.04,242.67,Toys,9.36,Yes,No,No,64.99,2024-09-21
CUST00007,2021-05-22,39,Male,,Germany,New York,11,18.14,253.66,Food,2.19,No,Yes,No,19.04,2024-08-08
CUST00008,2022-04-21,64,Male,Low,USA,Sydney,2,42.09,77.26,Clothing,8.75,Yes,Yes,Yes,84.87,2024-09-05
CUST00009,2022-04-01,101,Other,Very High,Japan,Chicago,8,62.86,660.43,Electronics,5.29,Yes,Yes,Yes,6.85,2025-03-17
CUST00010,2020-09-02,54,,Low,Canada,Delhi,15,135.6,1416.31,Food,7.77,No,Yes,Yes,50.59,2024-06-27
CUST00011,2021-05-15,28,Prefer not to say,,Japan,Chicago,,63.38,44.46,Clothing,2.4,Yes,No,Yes,85.29,2024-05-08
CUST00012,2020-04-14,45,Other,Low,USA,London,5,91.16,304.39,Books,8.51,Yes,No,Yes,36.47,2025-05-12
CUST00013,2022-01-02,33,Male,High,Canada,London,4,195.36,419.77,Beauty,4.71,Yes,No,Yes,10.81,2025-03-15
CUST00014,2021-02-12,47,Other,High,Germany,Berlin,5,193.54,1064.0,Beauty,2.04,Yes,No,Yes,43.46,2024-06-09
CUST00015,2022-11-13,54,Female,High,USA,New York,13,145.29,1976.28,Beauty,6.97,No,No,No,69.72,2024-04-08
CUST00016,2022-02-15,29,,,Japan,New York,4,118.1,549.51,Food,9.64,Yes,No,No,95.2,2024-06-07
CUST00017,2021-02-11,20,Female,Very High,India,Delhi,12,82.93,1830.09,Clothing,2.97,No,Yes,Yes,12.14,2024-08-25
CUST00018,2023-02-18,46,,,Canada,Chicago,3,97.56,426.29,Food,3.47,No,Yes,No,89.3,2024-03-18
CUST00019,2023-11-22,31,Male,Very High,Canada,Paris,4,80.95,171.39,Toys,9.48,No,No,Yes,27.29,2024-07-18
CUST00020,2023-10-22,64,Female,Very High,UK,Chicago,,115.06,80.95,Electronics,3.95,No,No,No,83.19,2024-02-11
CUST00021,2023-01-09,40,Female,Low,USA,Berlin,1,51.52,99.0,Sports,2.51,Yes,Yes,No,2.57,2024-12-12
CUST00022,2022-02-07,63,Female,Low,Germany,Tokyo,10,160.26,2081.97,Clothing,4.07,No,Yes,No,63.56,2024-12-28
CUST00023,2020-12-26,59,Other,,France,Delhi,14,187.25,4261.81,Toys,5.45,No,Yes,No,34.03,2024-12-25
CUST00024,2023-02-12,30,Male,Medium,Canada,Berlin,11,20357.89,193695.86,Beauty,5.78,No,No,No,25.14,2024-04-08
CUST00025,2023-01-02,-4,Prefer not to say,High,Japan,Berlin,6,7.76,91.32,Books,7.78,Yes,No,No,34.07,2024-05-09
CUST00026,2022-09-05,22,Prefer not to say,Very High,India,New York,13,64.25,1375.38,Home,4.42,No,No,No,6.02,2024-02-20
CUST00027,2021-03-01,34,Male,Medium,Germany,Mumbai,7,120.79,1319.39,Food,3.1,Yes,No,Yes,64.76,2025-02-27
CUST00028,2020-05-02,37,,,Japan,Paris,12,58.09,973.86,Beauty,1.23,Yes,No,Yes,17.52,2024-08-14
CUST00029,2021-01-06,45,Prefer not to say,High,Canada,Mumbai,6,101.62,1000.4,,3.27,No,Yes,No,18.76,2025-01-22
CUST00030,2022-06-24,31,Other,,UK,Paris,8,194.76,1149.19,Toys,9.93,No,Yes,Yes,71.66,2024-05-19
CUST00031,2022-09-15,-2,Prefer not to say,Medium,UK,Tokyo,14,187.18,2422.04,Food,5.02,No,No,No,86.96,2024-05-02
CUST00032,2021-04-23,111,Prefer not to say,Very High,UK,New York,10,24.57,458.39,,8.84,Yes,No,No,69.27,2025-03-12
CUST00033,2023-10-13,42,,Low,Germany,Tokyo,12,195.78,1528.87,Sports,1.41,No,No,No,24.42,2024-12-15
CUST00034,2020-12-14,57,Prefer not to say,,Germany,Delhi,8,94.62,906.75,Books,9.51,No,No,No,30.21,2025-03-12
CUST00035,2021-04-30,40,,High,Japan,,7,115.36,463.17,Food,9.13,Yes,No,Yes,62.09,2025-01-04
CUST00036,2023-10-26,58,Male,Low,Japan,New York,12,182.38,1753.46,Beauty,9.22,No,No,No,33.87,2025-05-08
CUST00037,2021-04-07,,Male,Very High,USA,Mumbai,11,56.12,652.64,Food,,No,Yes,Yes,46.43,2024-11-28
CUST00038,2020-10-13,20,Other,Very High,India,Chicago,8,190.13,2100.57,Toys,8.5,No,Yes,No,44.47,2024-07-04
CUST00039,2023-11-05,59,Other,Low,Canada,Mumbai,14,134.24,999.89,Home,8.08,Yes,Yes,Yes,14.76,2024-01-02
CUST00040,2020-10-23,52,Male,Medium,USA,Berlin,1,15.22,24.63,Beauty,1.98,Yes,No,No,3.12,2025-03-09
CUST00041,2023-11-06,63,Prefer not to say,Low,India,London,5,119.15,831.72,Toys,7.32,Yes,No,No,41.38,2024-07-23
CUST00042,2020-07-13,38,Other,High,UK,Paris,14,89.22,868.33,,6.06,No,No,No,72.11,2024-11-03
CUST00043,2020-07-31,31,Female,Very High,Germany,Sydney,6,59.32,477.45,Electronics,6.92,Yes,Yes,No,30.9,2024-01-04
CUST00044,2020-10-20,43,Male,Medium,USA,Chicago,7,35.69,477.7,Electronics,7.79,Yes,No,No,48.57,2024-05-19
CUST00045,2022-11-15,45,Male,High,France,Tokyo,,20659.61,14582.63,Beauty,5.48,Yes,No,Yes,83.34,2024-02-06
CUST00046,2020-03-27,47,Male,High,Canada,Toronto,7,68.33,836.1,Clothing,1.95,No,Yes,No,74.58,2025-02-02
CUST00047,2022-11-11,51,,Medium,Australia,London,3,38.83,71.41,Food,6.07,No,No,Yes,46.89,2025-02-11
CUST00048,2020-04-25,22,Other,Very High,France,,5,173.53,1093.76,Electronics,8.29,No,No,Yes,45.05,2025-03-04
CUST00049,2024-01-02,59,Female,Low,Germany,Paris,10,77.71,782.97,Beauty,1.85,No,No,Yes,58.27,2024-06-28
CUST00050,2023-09-05,43,Female,,India,Toronto,6,135.67,1243.92,Toys,1.16,Yes,No,No,100.0,2024-05-31
CUST00051,2020-07-26,52,,Low,Australia,Delhi,7,40.26,522.49,Electronics,7.09,No,No,No,23.92,2025-02-05
CUST00052,2021-02-01,54,Prefer not to say,Very High,Japan,Chicago,3,161.25,707.13,Clothing,5.64,Yes,Yes,No,51.34,2024-02-16
CUST00053,2021-03-30,40,Male,Very High,USA,Sydney,2,10.5,30.97,Books,,No,Yes,No,0.53,2024-05-11
CUST00054,2020-11-02,64,,,Canada,Tokyo,2,86.87,115.76,Electronics,6.18,No,No,Yes,24.06,2024-12-06
CUST00055,2022-12-08,22,Prefer not to say,Very High,USA,Sydney,1,18.17,11.91,Beauty,4.17,Yes,No,No,81.15,2025-02-01
CUST00056,2020-03-16,20,Female,Low,Australia,Chicago,14,54.4,788.61,Beauty,8.19,No,No,No,18.68,2024-07-07
CUST00057,2022-11-29,23,Prefer not to say,Low,Canada,London,6,68.94,652.1,Food,1.38,No,No,No,79.15,
CUST00058,2022-04-11,65,Female,Low,UK,Paris,,156.81,211.83,Food,4.35,Yes,No,No,27.87,2024-01-14
CUST00059,2022-10-19,53,Male,High,Japan,Berlin,5,199.73,610.25,Food,8.29,No,No,Yes,29.04,2024-03-21
CUST00060,2023-12-05,41,,Medium,India,London,8,113.03,1200.35,Clothing,4.58,No,No,No,7.38,2024-11-24
