product_a,product_b,times_together
Compact Headphones Ok,Elite Non-Fiction Capital,5
Compact Headphones Ok,Compact Self-Help Reason,4
Elite Decor Special,Elite Lighting Probably,4
Pro Furniture Lead,Modern T-Shirts Worry,4
Modern Smartphones Around,Modern Decor Half,4
Modern Smartphones Around,Modern Academic Throughout,4
Elite Self-Help Claim,Basic Dresses Thousand,4
Modern T-Shirts Worry,Deluxe Academic Week,4
Compact Self-Help Reason,Elite Lighting Probably,4
Classic Dresses Response,Pro Fiction Security,3
Compact Lighting Nation,Pro Dresses Congress,3
Basic Furniture Guy,Basic Dresses Thousand,3
Basic Furniture Career,Ultra Cameras Debate,3
Basic Furniture Career,Deluxe Shoes Owner,3
Deluxe Decor Unit,Elite Self-Help Claim,3
Premium Jackets Them,Pro Dresses Yourself,3
Compact Headphones Ok,Premium Bedding Year,3
Compact Headphones Ok,Pro Dresses Congress,3
Compact Headphones Ok,Elite Lighting Probably,3
Compact Academic Push,Compact Bedding Better,3
